description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
4 Bedroom Semi Detached House With Bq,Banana Island Ikoyi Lagos,44999999.0,4.0,4.0,Ikoyi,,Old
3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,30000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
New 2 Bedroom Terrace House +bq+elevator,Old Ikoyi Ikoyi Lagos,25000000.0,2.0,2.0,Ikoyi,,Old
Luxury 4 Bedroom Terrace House +bq+pool,Old Ikoyi Old Ikoyi Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,,Old
5 Bedroom Detached House,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,35000000.0,5.0,5.0,Lekki,,Old
4 Bedroom Apartment With Bq,Banana Island Estate Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
4 Bedroom Flat,Banana Island Banana Island Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
4 Bedroom Terrace House,Parkview Estate Parkview Estate Ikoyi Lagos,20000000.0,4.0,4.0,Ikoyi,,Old
3 Bedroom Apartment With Bq,Victoria Island Lagos,42000000.0,3.0,2.0,Victoria Island,flat & apartment,Old
5 Bedroom Fully Detached Duplex With Bq,Parkview Estate Ikoyi Lagos,45000000.0,5.0,5.0,Ikoyi,duplex,Old
3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,47000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
New 2 Bedroom Terrace House + Open Plan Kitchen+bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000.0,2.0,2.0,Ikoyi,,Old
Luxury 3 Bedroom Apartment +bq+pool+gym,Victoria Island Victoria Island Lagos,41999999.0,3.0,3.0,Victoria Island,flat & apartment,Old
Partially Furnished 2 Bedroom Pent Floor Apartment,Parkview Estate Parkview Estate Ikoyi Lagos,25000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,30000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Newly Built 4 Bedroom Apartment,Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,New
Newly Built 2 Bedroom Maisonette,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000.0,2.0,2.0,Ikoyi,maisonette,New
3 Bedroom Apartment,Bourdillon Ikoyi Lagos,30000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Semi Detached House,Banana Island Estate Banana Island Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,,Old
4 Bedroom Terrace Duplex,Old Ikoyi Old Ikoyi Ikoyi Lagos,30000000.0,4.0,4.0,Ikoyi,duplex,Old
4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,22500000.0,2.0,2.0,Ikoyi,flat & apartment,Old
Luxury 3 Bedroom Apartment +bq+pool+gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,45000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Ikoyi Lagos Ikoyi S.w Ikoyi Lagos,30000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Newly Built 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,38000000.0,3.0,3.0,Ikoyi,flat & apartment,New
Luxury 3 Bedroom Apartment + Bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,35000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Penthouse With Bq X 2yrs,Old Ikoyi Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,penthouse,Old
3 Bedroom Apartment,Banana Island Banana Island Ikoyi Lagos,49990000.0,3.0,3.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Victoria Island Victoria Island Lagos,40000000.0,3.0,3.0,Victoria Island,flat & apartment,Old
